FileID,,T20P58300100002
TestTime,,2018/03/12 00:40
WO,,T13P57400500
Operator,,0
MaximumBin,,256
Specification,,95.C2016.NMC100Z.tsf
SpecRemark,,
FileName,,T20P58300100002.csv
ProductName,,
DeviceNumber,,95.c2016.nmc100z
LOT_ID,,T20P58300100002
ComponentNo,,T20P58300100002
Customer,,
Class,,
OrderNumber,,
Temperature,,
Humidity,,
Remark1,,
Remark2,,
Remark3,,3.80.238
Remark4,,
EQP_ID,,P5PBW003
Recipe_Name,,95.C2016.NMC100Z.tsf
QTY,,1080
SideBin,,259
NGBin,,211
ResortBin,,0
TryLot,,No
CORREL1,,0
CORREL2,,0
SUMITEM,Bin,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
MAX,253,0,0,0,0,0,0,0,0.3348,0.358,450.0382,339.2706,3.3984,2.38,2.3789,3.2386,2.3762,0.622,0.089
MIN,29,0,0,0,0,0,0,0,0.312,0.3138,443.7567,24.0728,2.6035,2.3258,2.3241,2.3075,2.248,0.536,0.0003
AVG,79.3630,0,0,0,0,0,0,0,0.3219,0.3333,445.9886,308.8152,3.2454,2.3612,2.3615,3.082,2.2979,0.5558,0.0636
STD,36.5636,0,0,0,0,0,0,0,0.0041,0.0077,1.0923,46.6966,0.0841,0.0054,0.0058,0.0707,0.0161,0.0123,0.0136
NG,0,0,0,0,0,0,0,0,0,,0,0,206,1,0,0,0,4,0
Cond_NG,0,0,0,0,0,0,0,0,19,,0,239,1,0,0,0,0,0,0


map data
PosX,PosY,Bin,TEST,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
14,2,59,87,B0001U6B,1,0,0,0,0,0,0.3189,0.3285,446.23,326.79,3.236,2.3559,2.3571,3.0717,2.2843,0.5497,0.0728
15,2,59,88,B0001U6B,1,0,0,0,0,0,0.3161,0.3213,444.14,328.7,3.2452,2.3664,2.3676,3.0814,2.297,0.5515,0.0707
16,2,250,89,NotG-Bin,3,0,0,0,0,1,0,0,0,0,5.1205,5.001,5.001,5.0007,5.001,0.6202,0
17,2,59,90,B0001U6B,1,0,0,0,0,0,0.3187,0.3292,447.51,326.1,3.2965,2.3551,2.3563,3.1229,2.2854,0.5451,0.071
18,2,59,91,B0001U6B,1,0,0,0,0,0,0.3188,0.3288,446.66,326.07,3.2967,2.3586,2.3598,3.1241,2.2884,0.547,0.0714
19,2,59,92,B0001U6B,1,0,0,0,0,0,0.3195,0.3292,446.27,325.39,3.3015,2.3598,2.3611,3.1293,2.2921,0.5479,0.069
20,2,80,93,C0001U6B,1,0,0,0,0,0,0.3215,0.3318,445.36,325.57,3.313,2.3649,2.3663,3.1398,2.2961,0.5479,0.0702
21,2,80,94,C0001U6B,1,0,0,0,0,0,0.3221,0.335,447.18,327.61,3.3,2.3579,2.3591,3.1262,2.2883,0.5479,0.0708
22,2,59,95,B0001U6B,1,0,0,0,0,0,0.3194,0.3279,445.04,326.7,3.2832,2.3644,2.3656,3.1138,2.2939,0.547,0.0717
23,2,80,96,C0001U6B,1,0,0,0,0,0,0.3211,0.3331,446.93,325.04,3.2986,2.3577,2.3589,3.1255,2.2881,0.547,0.0708
24,2,59,97,B0001U6B,1,0,0,0,0,0,0.3187,0.3277,446.35,323.15,3.2988,2.3605,2.3615,3.1258,2.2889,0.5451,0.0726
25,2,59,98,B0001U6B,1,0,0,0,0,0,0.3201,0.3305,446.43,325.87,3.2997,2.3589,2.3601,3.1262,2.2878,0.5442,0.0723
26,2,80,99,C0001U6B,1,0,0,0,0,0,0.3207,0.3313,446.43,325.63,3.2994,2.3597,2.3609,3.1255,2.2887,0.5451,0.0722
27,2,59,100,B0001U6B,1,0,0,0,0,0,0.3189,0.3286,446.56,327.02,3.2954,2.3588,2.3598,3.1222,2.2875,0.5451,0.0723
28,2,59,101,B0001U6B,1,0,0,0,0,0,0.3184,0.3254,444.37,325.29,3.2993,2.3684,2.3696,3.1259,2.2964,0.5451,0.0732
